epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1741.19,1.35137,2.02654,1.76976,0.66796,0.24028,0.13592,0.04791,1.89828,2.43867,2.43295,0.000552742,0.000552742,0.000552742
2,3234.89,1.36444,1.79403,1.78407,0.75598,0.19167,0.16995,0.06936,1.7504,2.36781,2.42305,0.00105354,0.00105354,0.00105354
3,4734.15,1.32498,1.78852,1.75069,0.81548,0.22322,0.23934,0.09496,1.95151,2.17661,2.51752,0.00149933,0.00149933,0.00149933
4,6259,1.25767,1.66033,1.70977,0.839,0.26528,0.28637,0.13963,1.64743,1.87688,2.0851,0.00141945,0.00141945,0.00141945
5,12527.7,1.21605,1.59734,1.67452,0.8578,0.27958,0.31492,0.1714,1.47915,1.82982,1.95043,0.00133693,0.00133693,0.00133693
6,14026.9,1.14189,1.49287,1.62206,0.84497,0.30972,0.31401,0.17911,1.42224,1.71407,1.82167,0.00125442,0.00125442,0.00125442
7,15359.8,1.10019,1.39558,1.58326,0.82571,0.32222,0.33668,0.19835,1.35887,1.56567,1.80405,0.0011719,0.0011719,0.0011719
8,16763.9,1.05533,1.29564,1.53956,0.83902,0.3393,0.3574,0.21679,1.3128,1.45883,1.73836,0.00108938,0.00108938,0.00108938
9,18201.2,1.04385,1.25752,1.521,0.89157,0.31667,0.62255,0.46469,1.18046,1.39204,1.57161,0.00100687,0.00100687,0.00100687
10,19624.3,1.00133,1.18919,1.49136,0.85295,0.33333,0.4941,0.25259,1.22767,1.43033,1.64002,0.000924352,0.000924352,0.000924352
11,21022.4,1.09745,1.18524,1.70191,0.70144,0.45833,0.92503,0.59701,1.19719,1.05492,1.60842,0.000841835,0.000841835,0.000841835
12,22421.4,1.01428,0.99762,1.62338,0.93703,0.39167,0.53762,0.35909,1.06526,1.05182,1.4879,0.000759318,0.000759318,0.000759318
13,23756.9,0.9705,0.93351,1.58306,0.61849,0.96944,0.93285,0.75932,1.06535,0.98842,1.51449,0.000676802,0.000676802,0.000676802
14,25152.6,0.93744,0.85872,1.53938,0.74737,0.95833,0.94789,0.6285,0.94213,0.94134,1.39039,0.000594286,0.000594286,0.000594286
15,26469.4,0.894,0.79644,1.50404,0.94068,0.42083,0.47472,0.35483,0.92256,0.78335,1.3525,0.000511769,0.000511769,0.000511769
16,27855.2,0.87512,0.74081,1.47635,0.94909,0.42878,0.96343,0.73848,0.94806,0.83459,1.34727,0.000429253,0.000429253,0.000429253
17,29187.8,0.83434,0.70058,1.44584,0.93643,0.41528,0.62667,0.51391,0.93909,0.80897,1.35174,0.000346736,0.000346736,0.000346736
18,30611.2,0.81438,0.6722,1.41337,0.9639,0.41389,0.56696,0.45098,0.90154,0.75141,1.32572,0.00026422,0.00026422,0.00026422
19,31952.7,0.7902,0.63895,1.39785,0.95272,0.44583,0.97043,0.80896,0.89031,0.7417,1.31418,0.000181703,0.000181703,0.000181703
20,33374.9,0.76218,0.60142,1.36772,0.96112,0.89618,0.97254,0.76441,0.87235,0.72192,1.29846,9.91865e-05,9.91865e-05,9.91865e-05
